"Project","Client","Description","Task","User","Email","Tags","Billable","Start Date","Start Time","End Date","End Time","Duration (h)","Duration (decimal)","Billable  Rate (CHF)","Billable Amount (CHF)"
"IRES","","","","","","","","2020-06-26","16:35:46","2020-06-26","17:48:56","01:13:10","1.22","",""
"IRES","","","","","","","","2020-06-26","10:36:33","2020-06-26","11:32:00","00:55:27","0.92","",""
"IRES","","","","","","","","2020-06-25","21:34:17","2020-06-25","22:17:00","00:42:43","0.71","",""
"WOR II","","","","","","","","2020-06-25","20:14:44","2020-06-25","20:55:02","00:40:18","0.67","",""
"IRES","","","","","","","","2020-06-25","13:45:31","2020-06-25","14:57:47","01:12:16","1.20","",""
"FIRE","","","","","","","","2020-06-24","20:00:29","2020-06-24","21:15:46","01:15:17","1.25","",""
"IRES","","","","","","","","2020-06-24","16:43:38","2020-06-24","17:53:52","01:10:14","1.17","",""
"FIRE","","","","","","","","2020-06-24","14:29:09","2020-06-24","15:17:13","00:48:04","0.80","",""
"MARK","","","","","","","","2020-06-23","21:15:15","2020-06-23","21:41:20","00:26:05","0.43","",""
"STAT","","","","","","","","2020-06-23","10:28:38","2020-06-23","10:38:31","00:09:53","0.16","",""
"STAT","","","","","","","","2020-06-22","20:19:34","2020-06-22","21:02:06","00:42:32","0.71","",""
"IRGR","","","","","","","","2020-06-22","09:58:26","2020-06-22","10:47:07","00:48:41","0.81","",""
"STAT","","","","","","","","2020-06-21","20:31:04","2020-06-21","21:17:19","00:46:15","0.77","",""
"IRGR","","","","","","","","2020-06-20","21:22:01","2020-06-20","21:54:29","00:32:28","0.54","",""
"IRGR","","","","","","","","2020-06-20","19:34:00","2020-06-20","20:03:00","00:29:00","0.48","",""
"WIM","","","","","","","","2020-06-20","16:43:28","2020-06-20","17:19:02","00:35:34","0.59","",""
"WIM","","","","","","","","2020-06-20","14:29:32","2020-06-20","15:21:33","00:52:01","0.87","",""
"STAT","","","","","","","","2020-06-20","11:13:52","2020-06-20","11:59:39","00:45:47","0.76","",""
"STAT","","","","","","","","2020-06-19","19:19:22","2020-06-19","20:33:29","01:14:07","1.24","",""
"KOMM","","","","","","","","2020-06-18","16:14:14","2020-06-18","16:48:39","00:34:25","0.57","",""
"STAT","","","","","","","","2020-06-18","14:01:48","2020-06-18","14:43:47","00:41:59","0.70","",""
"KOME","","","","","","","","2020-06-18","10:02:55","2020-06-18","11:30:38","01:27:43","1.46","",""
"KOMM","","","","","","","","2020-06-17","21:24:02","2020-06-17","21:37:04","00:13:02","0.22","",""
"KOME","","","","","","","","2020-06-17","16:25:03","2020-06-17","17:21:04","00:56:01","0.93","",""
"KOME","","","","","","","","2020-06-17","14:07:43","2020-06-17","15:19:46","01:12:03","1.20","",""
"KOME","","","","","","","","2020-06-17","10:20:04","2020-06-17","11:06:08","00:46:04","0.77","",""
"KOMM","","","","","","","","2020-06-16","21:14:27","2020-06-16","21:34:49","00:20:22","0.34","",""
"STAT","","","","","","","","2020-06-16","16:08:48","2020-06-16","17:24:22","01:15:34","1.26","",""
"STAT","","","","","","","","2020-06-16","13:09:26","2020-06-16","14:02:00","00:52:34","0.88","",""
"WIAR","","","","","","","","2020-06-15","21:43:24","2020-06-15","22:06:00","00:22:36","0.38","",""
"WIAR","","","","","","","","2020-06-15","13:35:32","2020-06-15","14:47:00","01:11:28","1.19","",""
"WIAR","","","","","","","","2020-06-15","11:15:41","2020-06-15","12:23:25","01:07:44","1.13","",""
"WIAR","","","","","","","","2020-06-15","10:06:52","2020-06-15","10:37:43","00:30:51","0.51","",""
"KOMM","","","","","","","","2020-06-14","21:37:34","2020-06-14","22:06:00","00:28:26","0.47","",""
"KOMM","","","","","","","","2020-06-12","21:41:24","2020-06-12","21:58:41","00:17:17","0.29","",""
"WIAR","","","","","","","","2020-06-11","12:27:37","2020-06-11","13:01:47","00:34:10","0.57","",""
"KOMM","","","","","","","","2020-06-09","20:51:13","2020-06-09","21:15:23","00:24:10","0.40","",""
"WIAR","","","","","","","","2020-06-09","13:34:41","2020-06-09","14:44:23","01:09:42","1.16","",""
"WIAR","","","","","","","","2020-06-09","10:49:46","2020-06-09","11:02:12","00:12:26","0.21","",""
"WIAR","","","","","","","","2020-06-09","08:55:03","2020-06-09","09:49:30","00:54:27","0.91","",""
"WIAR","","","","","","","","2020-06-08","19:47:44","2020-06-08","20:31:00","00:43:16","0.72","",""
"WIAR","","","","","","","","2020-06-08","16:10:53","2020-06-08","17:29:16","01:18:23","1.31","",""
"WIAR","","","","","","","","2020-06-08","13:53:03","2020-06-08","14:54:24","01:01:21","1.02","",""
"WIAR","","","","","","","","2020-06-08","11:06:03","2020-06-08","11:53:01","00:46:58","0.78","",""
"WIAR","","","","","","","","2020-06-08","09:03:32","2020-06-08","10:27:31","01:23:59","1.40","",""
"KOMM","","","","","","","","2020-06-05","21:49:40","2020-06-05","22:04:19","00:14:39","0.24","",""
"KOMM","","","","","","","","2020-06-04","20:09:42","2020-06-04","20:33:33","00:23:51","0.40","",""
"KOMM","","","","","","","","2020-06-04","16:15:03","2020-06-04","17:38:43","01:23:40","1.39","",""
"WOR II","","","","","","","","2020-06-03","08:49:57","2020-06-03","09:25:34","00:35:37","0.59","",""
"IRES","","","","","","","","2020-05-29","17:44:50","2020-05-29","18:44:21","00:59:31","0.99","",""
"IRES","","","","","","","","2020-05-29","14:35:10","2020-05-29","15:21:49","00:46:39","0.78","",""
"KOMM","","","","","","","","2020-05-24","16:32:04","2020-05-24","16:56:28","00:24:24","0.41","",""
"KOMM","","","","","","","","2020-05-23","19:30:25","2020-05-23","20:52:00","01:21:35","1.36","",""
"WIM","","","","","","","","2020-05-23","13:25:49","2020-05-23","14:15:59","00:50:10","0.84","",""
"WIM","","","","","","","","2020-05-21","13:31:42","2020-05-21","14:19:53","00:48:11","0.80","",""
"WIM","","","","","","","","2020-05-21","09:47:09","2020-05-21","10:13:49","00:26:40","0.44","",""
"DBMS","","","","","","","","2020-05-19","20:31:54","2020-05-19","21:16:13","00:44:19","0.74","",""
"DBMS","","","","","","","","2020-05-19","08:50:59","2020-05-19","09:46:09","00:55:10","0.92","",""
"WIM","","","","","","","","2020-05-18","13:37:06","2020-05-18","14:02:06","00:25:00","0.42","",""
"DBMS","","","","","","","","2020-05-17","15:11:06","2020-05-17","15:48:53","00:37:47","0.63","",""
"DBMS","","","","","","","","2020-05-17","09:11:59","2020-05-17","09:42:13","00:30:14","0.50","",""
"DBMS","","","","","","","","2020-05-17","08:01:36","2020-05-17","08:41:19","00:39:43","0.66","",""
"FIRE","","","","","","","","2020-05-13","16:50:33","2020-05-13","17:20:35","00:30:02","0.50","",""
"FIRE","","","","","","","","2020-05-13","14:25:26","2020-05-13","15:10:33","00:45:07","0.75","",""
"DBMS","","","","","","","","2020-05-12","09:42:36","2020-05-12","10:00:21","00:17:45","0.30","",""
"KOME","","","","","","","","2020-05-11","14:07:04","2020-05-11","14:54:13","00:47:09","0.79","",""
"DBMS","","","","","","","","2020-05-11","10:39:13","2020-05-11","11:18:46","00:39:33","0.66","",""
"DBMS","","","","","","","","2020-05-10","20:46:51","2020-05-10","21:15:44","00:28:53","0.48","",""
"KOME","","","","","","","","2020-05-10","14:01:45","2020-05-10","15:12:38","01:10:53","1.18","",""
"KOMM","","","","","","","","2020-05-09","21:20:57","2020-05-09","21:36:23","00:15:26","0.26","",""
"ENG","","","","","","","","2020-05-09","13:34:04","2020-05-09","14:47:00","01:12:56","1.22","",""
"WIAR","","","","","","","","2020-05-05","19:27:26","2020-05-05","20:49:47","01:22:21","1.37","",""
